bacteria,eps,adesao,estresse,manosidase,fosfolipase,acido_folico,bacteriocina,sais_biliares,betagalactosidase,tolerancia_gastro,metabolismo_carbono,total_funcoes
Bacteroides acidifaciens,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides bouchesdurhonensis,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides caccae,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides caecigallinarum,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides caecimuris,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides cellulolyticus,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides cellulosilyticus,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides clarus,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides congonensis,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides cutis,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides eggerthii,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides faecalis,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides faecichinchillae,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides faecis,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides finegoldii,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides fluxus,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides fragilis,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides gallinarum,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides helcogenes,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides heparinolyticus,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides humanifaecis,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides ihuae,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides ilei,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides intestinalis,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides koreensis,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides kribbi,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides luhongzhouii,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides luti,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides mediterraneensis,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides ndongoniae,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides neonati,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides nordii,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides oleiciplenus,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides ovatus,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides propionicigenes,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides pyogenes,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides reticulotermitis,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides salyersiae,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides stercorirosoris,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides stercoris,1,1,1,0,0,1,0,0,0,0,1,5
Bacteroides thetaiotaomicron,1,1,1,0,0,1,0,0,0,0,1,5
